"distance","placeName","distanceNumber","hotelId","hotelLocation"
"19.2km","Singapore Changi Airport",19190,687474,"Marina Bay"
"26.4km","Woodlands Train Checkpoint",26380,687474,"Marina Bay"
"320m","Esplanade",320,687474,"Marina Bay"
"540m","City Hall",540,687474,"Marina Bay"
"580m","Marina Bay",580,687474,"Marina Bay"
"136m","Twenty.Six@Purvis",136,687474,"Marina Bay"
"153m","Spa by JW",153,687474,"Marina Bay"
"153m","Pine Spa",153,687474,"Marina Bay"
"170m","Big Bus Singapore",170,687474,"Marina Bay"
"171m","DUCK Tours",171,687474,"Marina Bay"
"198m","Spa Club At Beach Road",198,687474,"Marina Bay"
"208m","Mint Museum of Toys",208,687474,"Marina Bay"
"222m","Lalin Gallery",222,687474,"Marina Bay"
"224m","Suntec Singapore International Convention and Exhibition Centre",224,687474,"Marina Bay"
"243m","Rabbit Owl Depot",243,687474,"Marina Bay"
"19.1km","Singapore Changi Airport",19120,992740,"Marina Bay"
"26.9km","Woodlands Train Checkpoint",26900,992740,"Marina Bay"
"360m","Esplanade",360,992740,"Marina Bay"
"580m","City Hall",580,992740,"Marina Bay"
"660m","Marina Bay",660,992740,"Marina Bay"
"79m","Spa Club At Beach Road",79,992740,"Marina Bay"
"114m","Pine Spa",114,992740,"Marina Bay"
"130m","Twenty.Six@Purvis",130,992740,"Marina Bay"
"191m","Rabbit Owl Depot",191,992740,"Marina Bay"
"212m","DrSpa",212,992740,"Marina Bay"
"218m","Mint Museum of Toys",218,992740,"Marina Bay"
"218m","Unravel",218,992740,"Marina Bay"
"246m","GOURMETbus",246,992740,"Marina Bay"
"246m","Dream Drive Pte Ltd",246,992740,"Marina Bay"
"246m","Cool de Sac Play Centre",246,992740,"Marina Bay"
"19.6km","Singapore Changi Airport",19630,687472,"Marina Bay"
"26.8km","Woodlands Train Checkpoint",26750,687472,"Marina Bay"
"230m","Bras Basah",230,687472,"Marina Bay"
"430m","Bencoolen MRT",430,687472,"Marina Bay"
"800m","Marina Bay",800,687472,"Marina Bay"
"113m","Chan Hampe Galleries",113,687472,"Marina Bay"
"113m","Estheva Spa",113,687472,"Marina Bay"
"120m","Mint Museum of Toys",120,687472,"Marina Bay"
"131m","LifeSpa",131,687472,"Marina Bay"
"149m","National Library of Singapore",149,687472,"Marina Bay"
"157m","Carlton",157,687472,"Marina Bay"
"180m","Rabbit Owl Depot",180,687472,"Marina Bay"
"200m","Lalin Gallery",200,687472,"Marina Bay"
"208m","Twenty.Six@Purvis",208,687472,"Marina Bay"
"208m","Chijmes",208,687472,"Marina Bay"
"20.1km","Singapore Changi Airport",20140,905760,"Marina Bay"
"22km","Woodlands Train Checkpoint",21990,905760,"Marina Bay"
"410m","City Hall",410,905760,"Marina Bay"
"630m","Clarke Quay",630,905760,"Marina Bay"
"1km","Marina Bay",1050,905760,"Marina Bay"
"29m","Capitol Theatre",29,905760,"Marina Bay"
"61m","Singapore Free Walks",61,905760,"Marina Bay"
"126m","St Andrew's Cathedral",126,905760,"Marina Bay"
"135m","Stamford House",135,905760,"Marina Bay"
"139m","Ode To Art Contemporary",139,905760,"Marina Bay"
"195m","Urban SPA",195,905760,"Marina Bay"
"198m","National Heritage Board",198,905760,"Marina Bay"
"211m","Armenian Apostolic Church of St. Gregory the Illuminator",211,905760,"Marina Bay"
"219m","Hill Street Building",219,905760,"Marina Bay"
"231m","Sushi Don",231,905760,"Marina Bay"
"20.1km","Singapore Changi Airport",20140,687485,"Marina Bay"
"22km","Woodlands Train Checkpoint",21990,687485,"Marina Bay"
"420m","City Hall",420,687485,"Marina Bay"
"630m","Clarke Quay",630,687485,"Marina Bay"
"1.2km","Marina Bay",1210,687485,"Marina Bay"
"40m","Capitol Theatre",40,687485,"Marina Bay"
"69m","Singapore Free Walks",69,687485,"Marina Bay"
"128m","St Andrew's Cathedral",128,687485,"Marina Bay"
"139m","Stamford House",139,687485,"Marina Bay"
"142m","Ode To Art Contemporary",142,687485,"Marina Bay"
"182m","Urban SPA",182,687485,"Marina Bay"
"200m","National Heritage Board",200,687485,"Marina Bay"
"201m","Armenian Apostolic Church of St. Gregory the Illuminator",201,687485,"Marina Bay"
"206m","Hill Street Building",206,687485,"Marina Bay"
"218m","Sushi Don",218,687485,"Marina Bay"
"19.5km","Singapore Changi Airport",19490,97209990,"Bugis"
"21.4km","Woodlands Train Checkpoint",21420,97209990,"Bugis"
"290m","Bras Basah",290,97209990,"Bugis"
"420m","Bencoolen MRT",420,97209990,"Bugis"
"770m","Bugis",770,97209990,"Bugis"
"59m","National Library of Singapore",59,97209990,"Bugis"
"112m","St Joseph's Church (Victoria Street)",112,97209990,"Bugis"
"128m","National Design Centre",128,97209990,"Bugis"
"134m","InterContinental Singapore Heritage Trail",134,97209990,"Bugis"
"140m","Rabbit Owl Depot",140,97209990,"Bugis"
"174m","Mint Museum of Toys",174,97209990,"Bugis"
"208m","Unravel",208,97209990,"Bugis"
"221m","Filmgarde",221,97209990,"Bugis"
"225m","Pine Spa",225,97209990,"Bugis"
"226m","Manekineko Bugis+",226,97209990,"Bugis"
"19.3km","Singapore Changi Airport",19270,995082,"Marina Bay"
"28km","Woodlands Train Checkpoint",28050,995082,"Marina Bay"
"270m","Esplanade",270,995082,"Marina Bay"
"590m","Promenade",590,995082,"Marina Bay"
"570m","Marina Bay",570,995082,"Marina Bay"
"102m","Kglow Skinlab",102,995082,"Marina Bay"
"112m","Millenia Walk Indoor Skiing Course",112,995082,"Marina Bay"
"132m","Marina Square",132,995082,"Marina Bay"
"159m","NERF Action Xperience",159,995082,"Marina Bay"
"177m","Chinese Heritage Museum",177,995082,"Marina Bay"
"192m","The Spa at Mandarin Oriental Singapore",192,995082,"Marina Bay"
"196m","Pinkfong World Adventure - Singapore",196,995082,"Marina Bay"
"224m","Suntec Singapore International Convention and Exhibition Centre",224,995082,"Marina Bay"
"230m","Captain Explorer DUKW™ Tour",230,995082,"Marina Bay"
"230m","FunVee Open Top Bus",230,995082,"Marina Bay"
"20.3km","Singapore Changi Airport",20310,44320758,"Marina Bay"
"27.5km","Woodlands Train Checkpoint",27450,44320758,"Marina Bay"
"520m","City Hall",520,44320758,"Marina Bay"
"520m","Clarke Quay",520,44320758,"Marina Bay"
"1.2km","Marina Bay",1160,44320758,"Marina Bay"
"121m","Urban SPA",121,44320758,"Marina Bay"
"129m","Capitol Theatre",129,44320758,"Marina Bay"
"129m","Sushi Don",129,44320758,"Marina Bay"
"131m","Singapore Free Walks",131,44320758,"Marina Bay"
"148m","Hill Street Building",148,44320758,"Marina Bay"
"148m","St Andrew's Cathedral",148,44320758,"Marina Bay"
"151m","Hologate Singapore",151,44320758,"Marina Bay"
"174m","Central Fire Station",174,44320758,"Marina Bay"
"183m","Armenian Apostolic Church of St. Gregory the Illuminator",183,44320758,"Marina Bay"
"183m","Civil Defence Heritage Gallery",183,44320758,"Marina Bay"
"19.1km","Singapore Changi Airport",19130,932167,"Marina Bay"
"27.8km","Woodlands Train Checkpoint",27810,932167,"Marina Bay"
"470m","Promenade",470,932167,"Marina Bay"
"880m","Esplanade",880,932167,"Marina Bay"
"730m","Marina Bay",730,932167,"Marina Bay"
"40m","Millenia Walk Indoor Skiing Course",40,932167,"Marina Bay"
"40m","Kglow Skinlab",40,932167,"Marina Bay"
"110m","Chinese Heritage Museum",110,932167,"Marina Bay"
"247m","Marina Square",247,932167,"Marina Bay"
"258m","Fountain of Wealth",258,932167,"Marina Bay"
"266m","Alive Museum",266,932167,"Marina Bay"
"275m","The Spa at Mandarin Oriental Singapore",275,932167,"Marina Bay"
"280m","NERF Action Xperience",280,932167,"Marina Bay"
"288m","Boat Quay ",288,932167,"Marina Bay"
"289m","Pinkfong World Adventure - Singapore",289,932167,"Marina Bay"
"20.2km","Singapore Changi Airport",20160,1308129,"Marina Bay"
"26.9km","Woodlands Train Checkpoint",26940,1308129,"Marina Bay"
"770m","Esplanade",770,1308129,"Marina Bay"
"820m","Promenade",820,1308129,"Marina Bay"
"660m","Marina Bay",660,1308129,"Marina Bay"
"67m","Chinese Heritage Museum",67,1308129,"Marina Bay"
"104m","Kglow Skinlab",104,1308129,"Marina Bay"
"159m","Millenia Walk Indoor Skiing Course",159,1308129,"Marina Bay"
"163m","The Spa at Mandarin Oriental Singapore",163,1308129,"Marina Bay"
"179m","Marina Square",179,1308129,"Marina Bay"
"184m","Pinkfong World Adventure - Singapore",184,1308129,"Marina Bay"
"215m","NERF Action Xperience",215,1308129,"Marina Bay"
"246m","The Ritz-Carlton Spa, Singapore",246,1308129,"Marina Bay"
"248m","Youth Olympic Park",248,1308129,"Marina Bay"
"275m","Pororo Park Singapore",275,1308129,"Marina Bay"
"24km","Singapore Changi Airport",23980,1706908,"Orchard Road"
"19.8km","Woodlands Train Checkpoint",19830,1706908,"Orchard Road"
"1.2km","Newton",1230,1706908,"Orchard Road"
"1.3km","Orchard",1330,1706908,"Orchard Road"
"240m","Orchard Road",240,1706908,"Orchard Road"
"104m","K+ Curatorial Space",104,1706908,"Orchard Road"
"113m","BRIX",113,1706908,"Orchard Road"
"132m","Sense De Belle",132,1706908,"Orchard Road"
"148m","Serena Spa",148,1706908,"Orchard Road"
"150m","Starz Zone",150,1706908,"Orchard Road"
"154m","It works",154,1706908,"Orchard Road"
"178m","Chocosan foot reflexology",178,1706908,"Orchard Road"
"232m","Spa Rael Goodwood Park Hotel",232,1706908,"Orchard Road"
"241m","The Epicurean State",241,1706908,"Orchard Road"
"244m","Ayuthaya Spa",244,1706908,"Orchard Road"
"23.7km","Singapore Changi Airport",23740,8497129,"Orchard Road"
"19.2km","Woodlands Train Checkpoint",19180,8497129,"Orchard Road"
"620m","Orchard",620,8497129,"Orchard Road"
"1.4km","Newton",1390,8497129,"Orchard Road"
"570m","Orchard Road",570,8497129,"Orchard Road"
"37m","Supreme Q.X. Beauty Spa",37,8497129,"Orchard Road"
"37m","Ayuthaya Spa",37,8497129,"Orchard Road"
"94m","Footworks Reflexology",94,8497129,"Orchard Road"
"97m","Shaw Concessions",97,8497129,"Orchard Road"
"108m","Pop And Contemporary Fine Art",108,8497129,"Orchard Road"
"112m","Singapore Sidecars",112,8497129,"Orchard Road"
"169m","Chocosan foot reflexology",169,8497129,"Orchard Road"
"170m","BRIX",170,8497129,"Orchard Road"
"179m","Padma Spa",179,8497129,"Orchard Road"
"186m","K+ Curatorial Space",186,8497129,"Orchard Road"
"23km","Singapore Changi Airport",23040,996342,"Orchard Road"
"19.8km","Woodlands Train Checkpoint",19820,996342,"Orchard Road"
"1.1km","Newton",1110,996342,"Orchard Road"
"1.2km","Orchard",1160,996342,"Orchard Road"
"480m","Orchard Road",480,996342,"Orchard Road"
"132m","EGT Scooter",132,996342,"Orchard Road"
"229m","My Cozy Room Boutique Spa",229,996342,"Orchard Road"
"263m","Zhao Wei Films",263,996342,"Orchard Road"
"280m","Spa Rael Goodwood Park Hotel",280,996342,"Orchard Road"
"378m","SK-II Boutique Spa",378,996342,"Orchard Road"
"385m","Sense De Belle",385,996342,"Orchard Road"
"428m","Chocosan foot reflexology",428,996342,"Orchard Road"
"447m","BRIX",447,996342,"Orchard Road"
"459m","Padma Spa",459,996342,"Orchard Road"
"479m","Masjid Falah",479,996342,"Orchard Road"
"24km","Singapore Changi Airport",24040,909897,"Orchard Road"
"19.5km","Woodlands Train Checkpoint",19480,909897,"Orchard Road"
"940m","Orchard",940,909897,"Orchard Road"
"1.6km","Newton",1630,909897,"Orchard Road"
"880m","Orchard Road",880,909897,"Orchard Road"
"77m","Swuk Aesthetics & Spa",77,909897,"Orchard Road"
"221m","YANG Gallery",221,909897,"Orchard Road"
"274m","Pop And Contemporary Fine Art",274,909897,"Orchard Road"
"275m","Footworks Reflexology",275,909897,"Orchard Road"
"298m","Wellaholic (Clarke Quay Outlet)",298,909897,"Orchard Road"
"309m","Four Seasons Spa",309,909897,"Orchard Road"
"322m","Supreme Q.X. Beauty Spa",322,909897,"Orchard Road"
"329m","Ayuthaya Spa",329,909897,"Orchard Road"
"334m","The American Club Singapore",334,909897,"Orchard Road"
"338m","Shaw Concessions",338,909897,"Orchard Road"
"23km","Singapore Changi Airport",23010,6401620,"Orchard Road"
"19.8km","Woodlands Train Checkpoint",19790,6401620,"Orchard Road"
"640m","Somerset",640,6401620,"Orchard Road"
"770m","Orchard",770,6401620,"Orchard Road"
"920m","Orchard Road",920,6401620,"Orchard Road"
"111m","Emerald Hill",111,6401620,"Orchard Road"
"222m","New Creation Church",222,6401620,"Orchard Road"
"225m","Masjid Falah",225,6401620,"Orchard Road"
"236m","My Cozy Room Boutique Spa",236,6401620,"Orchard Road"
"252m","Beauty 21",252,6401620,"Orchard Road"
"284m","Orchard Road",284,6401620,"Orchard Road"
"292m","Alley Bar",292,6401620,"Orchard Road"
"304m","Celestial Sanctuary",304,6401620,"Orchard Road"
"332m","Moshi Moshi Bollywood",332,6401620,"Orchard Road"
"335m","RN Spa",335,6401620,"Orchard Road"
"23.1km","Singapore Changi Airport",23100,84720555,"Orchard Road"
"19.9km","Woodlands Train Checkpoint",19890,84720555,"Orchard Road"
"510m","Somerset",510,84720555,"Orchard Road"
"660m","Orchard",660,84720555,"Orchard Road"
"1.3km","Orchard Road",1290,84720555,"Orchard Road"
"110m","Beauty 21",110,84720555,"Orchard Road"
"111m","Celestial Sanctuary",111,84720555,"Orchard Road"
