distance,placeName,distanceNumber,hotelId
19.2km,Singapore Changi Airport,19190,687474
26.4km,Woodlands Train Checkpoint,26380,687474
320m,Esplanade,320,687474
540m,City Hall,540,687474
580m,Marina Bay,580,687474
136m,Twenty.Six@Purvis,136,687474
153m,Spa by JW,153,687474
153m,Pine Spa,153,687474
170m,Big Bus Singapore,170,687474
171m,DUCK Tours,171,687474
198m,Spa Club At Beach Road,198,687474
208m,Mint Museum of Toys,208,687474
222m,Lalin Gallery,222,687474
224m,Suntec Singapore International Convention and Exhibition Centre,224,687474
243m,Rabbit Owl Depot,243,687474
19.1km,Singapore Changi Airport,19120,992740
26.9km,Woodlands Train Checkpoint,26900,992740
360m,Esplanade,360,992740
580m,City Hall,580,992740
660m,Marina Bay,660,992740
79m,Spa Club At Beach Road,79,992740
114m,Pine Spa,114,992740
130m,Twenty.Six@Purvis,130,992740
191m,Rabbit Owl Depot,191,992740
212m,DrSpa,212,992740
218m,Mint Museum of Toys,218,992740
218m,Unravel,218,992740
246m,GOURMETbus,246,992740
246m,Dream Drive Pte Ltd,246,992740
246m,Cool de Sac Play Centre,246,992740
19.6km,Singapore Changi Airport,19630,687472
26.8km,Woodlands Train Checkpoint,26750,687472
230m,Bras Basah,230,687472
430m,Bencoolen MRT,430,687472
800m,Marina Bay,800,687472
113m,Chan Hampe Galleries,113,687472
113m,Estheva Spa,113,687472
120m,Mint Museum of Toys,120,687472
131m,LifeSpa,131,687472
149m,National Library of Singapore,149,687472
157m,Carlton,157,687472
180m,Rabbit Owl Depot,180,687472
200m,Lalin Gallery,200,687472
208m,Twenty.Six@Purvis,208,687472
208m,Chijmes,208,687472
20.1km,Singapore Changi Airport,20140,905760
22km,Woodlands Train Checkpoint,21990,905760
410m,City Hall,410,905760
630m,Clarke Quay,630,905760
1km,Marina Bay,1050,905760
29m,Capitol Theatre,29,905760
61m,Singapore Free Walks,61,905760
126m,St Andrew's Cathedral,126,905760
135m,Stamford House,135,905760
139m,Ode To Art Contemporary,139,905760
195m,Urban SPA,195,905760
198m,National Heritage Board,198,905760
211m,Armenian Apostolic Church of St. Gregory the Illuminator,211,905760
219m,Hill Street Building,219,905760
231m,Sushi Don,231,905760
20.1km,Singapore Changi Airport,20140,687485
22km,Woodlands Train Checkpoint,21990,687485
420m,City Hall,420,687485
630m,Clarke Quay,630,687485
1.2km,Marina Bay,1210,687485
40m,Capitol Theatre,40,687485
69m,Singapore Free Walks,69,687485
128m,St Andrew's Cathedral,128,687485
139m,Stamford House,139,687485
142m,Ode To Art Contemporary,142,687485
182m,Urban SPA,182,687485
200m,National Heritage Board,200,687485
201m,Armenian Apostolic Church of St. Gregory the Illuminator,201,687485
206m,Hill Street Building,206,687485
218m,Sushi Don,218,687485
19.5km,Singapore Changi Airport,19490,97209990
21.4km,Woodlands Train Checkpoint,21420,97209990
290m,Bras Basah,290,97209990
420m,Bencoolen MRT,420,97209990
770m,Bugis,770,97209990
59m,National Library of Singapore,59,97209990
112m,St Joseph's Church (Victoria Street),112,97209990
128m,National Design Centre,128,97209990
134m,InterContinental Singapore Heritage Trail,134,97209990
140m,Rabbit Owl Depot,140,97209990
174m,Mint Museum of Toys,174,97209990
208m,Unravel,208,97209990
221m,Filmgarde,221,97209990
225m,Pine Spa,225,97209990
226m,Manekineko Bugis+,226,97209990
19.3km,Singapore Changi Airport,19270,995082
28km,Woodlands Train Checkpoint,28050,995082
270m,Esplanade,270,995082
590m,Promenade,590,995082
570m,Marina Bay,570,995082
102m,Kglow Skinlab,102,995082
112m,Millenia Walk Indoor Skiing Course,112,995082
132m,Marina Square,132,995082
159m,NERF Action Xperience,159,995082
177m,Chinese Heritage Museum,177,995082
192m,The Spa at Mandarin Oriental Singapore,192,995082
196m,Pinkfong World Adventure - Singapore,196,995082
224m,Suntec Singapore International Convention and Exhibition Centre,224,995082
230m,Captain Explorer DUKW™ Tour,230,995082
230m,FunVee Open Top Bus,230,995082
20.3km,Singapore Changi Airport,20310,44320758
27.5km,Woodlands Train Checkpoint,27450,44320758
520m,City Hall,520,44320758
520m,Clarke Quay,520,44320758
1.2km,Marina Bay,1160,44320758
121m,Urban SPA,121,44320758
129m,Capitol Theatre,129,44320758
129m,Sushi Don,129,44320758
131m,Singapore Free Walks,131,44320758
148m,Hill Street Building,148,44320758
148m,St Andrew's Cathedral,148,44320758
151m,Hologate Singapore,151,44320758
174m,Central Fire Station,174,44320758
183m,Armenian Apostolic Church of St. Gregory the Illuminator,183,44320758
183m,Civil Defence Heritage Gallery,183,44320758
19.1km,Singapore Changi Airport,19130,932167
27.8km,Woodlands Train Checkpoint,27810,932167
470m,Promenade,470,932167
880m,Esplanade,880,932167
730m,Marina Bay,730,932167
40m,Millenia Walk Indoor Skiing Course,40,932167
40m,Kglow Skinlab,40,932167
110m,Chinese Heritage Museum,110,932167
247m,Marina Square,247,932167
258m,Fountain of Wealth,258,932167
266m,Alive Museum,266,932167
275m,The Spa at Mandarin Oriental Singapore,275,932167
280m,NERF Action Xperience,280,932167
288m,Boat Quay ,288,932167
289m,Pinkfong World Adventure - Singapore,289,932167
20.2km,Singapore Changi Airport,20160,1308129
26.9km,Woodlands Train Checkpoint,26940,1308129
770m,Esplanade,770,1308129
820m,Promenade,820,1308129
660m,Marina Bay,660,1308129
67m,Chinese Heritage Museum,67,1308129
104m,Kglow Skinlab,104,1308129
159m,Millenia Walk Indoor Skiing Course,159,1308129
163m,The Spa at Mandarin Oriental Singapore,163,1308129
179m,Marina Square,179,1308129
184m,Pinkfong World Adventure - Singapore,184,1308129
215m,NERF Action Xperience,215,1308129
246m,"The Ritz-Carlton Spa, Singapore",246,1308129
248m,Youth Olympic Park,248,1308129
275m,Pororo Park Singapore,275,1308129
24km,Singapore Changi Airport,23980,1706908
19.8km,Woodlands Train Checkpoint,19830,1706908
1.2km,Newton,1230,1706908
1.3km,Orchard,1330,1706908
240m,Orchard Road,240,1706908
104m,K+ Curatorial Space,104,1706908
113m,BRIX,113,1706908
132m,Sense De Belle,132,1706908
148m,Serena Spa,148,1706908
150m,Starz Zone,150,1706908
154m,It works,154,1706908
178m,Chocosan foot reflexology,178,1706908
232m,Spa Rael Goodwood Park Hotel,232,1706908
241m,The Epicurean State,241,1706908
244m,Ayuthaya Spa,244,1706908
23.7km,Singapore Changi Airport,23740,8497129
19.2km,Woodlands Train Checkpoint,19180,8497129
620m,Orchard,620,8497129
1.4km,Newton,1390,8497129
570m,Orchard Road,570,8497129
37m,Supreme Q.X. Beauty Spa,37,8497129
37m,Ayuthaya Spa,37,8497129
94m,Footworks Reflexology,94,8497129
97m,Shaw Concessions,97,8497129
108m,Pop And Contemporary Fine Art,108,8497129
112m,Singapore Sidecars,112,8497129
169m,Chocosan foot reflexology,169,8497129
170m,BRIX,170,8497129
179m,Padma Spa,179,8497129
186m,K+ Curatorial Space,186,8497129
23km,Singapore Changi Airport,23040,996342
19.8km,Woodlands Train Checkpoint,19820,996342
1.1km,Newton,1110,996342
1.2km,Orchard,1160,996342
480m,Orchard Road,480,996342
132m,EGT Scooter,132,996342
229m,My Cozy Room Boutique Spa,229,996342
263m,Zhao Wei Films,263,996342
280m,Spa Rael Goodwood Park Hotel,280,996342
378m,SK-II Boutique Spa,378,996342
385m,Sense De Belle,385,996342
428m,Chocosan foot reflexology,428,996342
447m,BRIX,447,996342
459m,Padma Spa,459,996342
479m,Masjid Falah,479,996342
24km,Singapore Changi Airport,24040,909897
19.5km,Woodlands Train Checkpoint,19480,909897
940m,Orchard,940,909897
1.6km,Newton,1630,909897
880m,Orchard Road,880,909897
77m,Swuk Aesthetics & Spa,77,909897
221m,YANG Gallery,221,909897
274m,Pop And Contemporary Fine Art,274,909897
275m,Footworks Reflexology,275,909897
298m,Wellaholic (Clarke Quay Outlet),298,909897
309m,Four Seasons Spa,309,909897
322m,Supreme Q.X. Beauty Spa,322,909897
329m,Ayuthaya Spa,329,909897
334m,The American Club Singapore,334,909897
338m,Shaw Concessions,338,909897
23km,Singapore Changi Airport,23010,6401620
19.8km,Woodlands Train Checkpoint,19790,6401620
640m,Somerset,640,6401620
770m,Orchard,770,6401620
920m,Orchard Road,920,6401620
111m,Emerald Hill,111,6401620
222m,New Creation Church,222,6401620
225m,Masjid Falah,225,6401620
236m,My Cozy Room Boutique Spa,236,6401620
252m,Beauty 21,252,6401620
284m,Orchard Road,284,6401620
292m,Alley Bar,292,6401620
304m,Celestial Sanctuary,304,6401620
332m,Moshi Moshi Bollywood,332,6401620
335m,RN Spa,335,6401620
23.1km,Singapore Changi Airport,23100,84720555
19.9km,Woodlands Train Checkpoint,19890,84720555
510m,Somerset,510,84720555
660m,Orchard,660,84720555
1.3km,Orchard Road,1290,84720555
110m,Beauty 21,110,84720555
111m,Celestial Sanctuary,111,84720555
114m,Observation Lounge,114,84720555
117m,Orchard Road,117,84720555
136m,Bounce Singapore,136,84720555
149m,Masjid Falah,149,84720555
151m,Ganso Manekineko,151,84720555
151m,Amazing Castle,151,84720555
226m,Alley Bar,226,84720555
233m,HUB Singapore,233,84720555
24.1km,Singapore Changi Airport,24130,10930412
18km,Woodlands Train Checkpoint,17950,10930412
950m,Stevens,950,10930412
1.5km,Newton,1510,10930412
1.2km,Orchard Road,1200,10930412
461m,"CHI, The Spa at Shangri-La",461,10930412
520m,Imbiah Battery,520,10930412
671m,The American Club Singapore,671,10930412
682m,SK-II Boutique Spa,682,10930412
742m,Swuk Aesthetics & Spa,742,10930412
762m,Padma Spa,762,10930412
817m,Spaboutique,817,10930412
823m,Zhao Wei Films,823,10930412
841m,Supreme Q.X. Beauty Spa,841,10930412
850m,Chocosan foot reflexology,850,10930412
23.6km,Singapore Changi Airport,23590,47626297
21km,Woodlands Train Checkpoint,20970,47626297
700m,Dhoby Ghaut,700,47626297
720m,Fort Canning MRT,720,47626297
1.9km,Orchard Road,1930,47626297
184m,LaserOPS,184,47626297
187m,Orchard Road Presbyterian Church,187,47626297
210m,Freeing SG,210,47626297
215m,The Luxe Art Museum,215,47626297
250m,Battlebox Museum Singapore,250,47626297
251m,Fort Canning Sculpture Trail,251,47626297
256m,Wesley Methodist Church,256,47626297
257m,Former House of Tan Yeok Nee,257,47626297
268m,Singapore Dance Theatre,268,47626297
276m,Chinois Spa,276,47626297
22.3km,Singapore Changi Airport,22290,996054
21.6km,Woodlands Train Checkpoint,21600,996054
